lsoa11cd,pop_adjusted_beds
E01000635,0.141307841
E01000636,0.116369087
E01000637,0.175995914
E01000638,0.206057077
E01000639,0.191178021
E01000640,0.21532285
E01000641,0.18742035
E01000642,0.169773223
E01000643,0.153433193
E01000644,0.150077569
E01000645,0.105867328
E01000646,0.090125366
E01000647,0.143256432
E01000648,0.111476593
E01000649,0.080396363
E01000650,0.06912047
E01000651,0.07448261
E01000652,0.079460243
E01000653,0.078663265
E01000654,0.132013022
E01000655,0.155454208
E01000656,0.094207735
E01000657,0.107842929
E01000658,0.074475466
E01000659,0.133684558
E01000661,0.120876016
E01000662,0.129678803
E01000663,0.105434463
E01000664,0.105306811
E01000665,0.09410688
E01000666,0.058781431
E01000667,0.078287956
E01000668,0.111664468
E01000669,0.149581146
E01000670,0.095831569
E01000671,0.092379254
E01000672,0.09502153
E01000673,0.156639679
E01000674,0.127518868
E01000675,0.110990217
E01000676,0.165811091
E01000677,0.185495328
E01000678,0.125751954
E01000679,0.162578317
E01000680,0.067128262
E01000681,0.098552449
E01000682,0.077475653
E01000683,0.134197788
E01000684,0.084516677
E01000685,0.126769963
E01000686,0.06844996
E01000687,0.070663891
E01000688,0.093416017
E01000689,0.126362479
E01000690,0.126258257
E01000691,0.1170114
E01000692,0.112951925
E01000693,0.058759267
E01000694,0.081960664
E01000695,0.089663641
E01000696,0.081884283
E01000697,0.122960461
E01000698,0.0977067
E01000699,0.258637226
E01000700,0.184774473
E01000701,0.253724799
E01000702,0.264571585
E01000703,0.160803278
E01000704,0.185708977
E01000705,0.191671062
E01000706,0.172116403
E01000707,0.198945548
E01000708,0.131872965
E01000709,0.108310996
E01000710,0.111433197
E01000711,0.107739848
E01000712,0.098787136
E01000713,0.103404871
E01000714,0.109955253
E01000715,0.093797853
E01000716,0.078117311
E01000717,0.111091873
E01000718,0.156746325
E01000719,0.115585801
E01000720,0.128974553
E01000721,0.186525466
E01000722,0.111327172
E01000723,0.072687938
E01000724,0.148095349
E01000725,0.114231255
E01000726,0.10046264
E01000727,0.077881328
E01000728,0.086911133
E01000729,0.159469654
E01000730,0.181897117
E01000731,0.147197912
E01000732,0.119300925
E01000733,0.103052089
E01000734,0.149718472
E01000735,0.156942873
E01000736,0.135835594
E01000737,0.123433115
E01000738,0.087577316
E01000739,0.121754701
E01000740,0.401529786
E01000741,0.259639375
E01000742,0.232716987
E01000743,0.127472547
E01000744,0.181120069
E01000745,0.232590647
E01000746,0.164584348
E01000747,0.080558055
E01000748,0.05689124
E01000749,0.053793338
E01000750,0.08426463
E01000751,0.076588604
E01000752,0.056941507
E01000753,0.061954277
E01000754,0.0917069
E01000755,0.082881756
E01000756,0.075251976
E01000757,0.06602411
E01000758,0.099710492
E01000759,0.100210214
E01000760,0.090001083
E01000761,0.101341843
E01000762,0.104329689
E01000763,0.109595298
E01000764,0.111406108
E01000765,0.101437929
E01000766,0.090716533
E01000767,0.094652182
E01000768,0.090266048
E01000769,0.160349563
E01000770,0.073797607
E01000771,0.096759715
E01000772,0.069759302
E01000773,0.097502505
E01000774,0.145600929
E01000775,0.080543523
E01000777,0.138939475
E01000778,0.160626355
E01000779,0.121106635
E01000780,0.13808196
